Skill_ID,Skill_Name,Random_Min,Random_Max,Use_MP,CoolTime,SkillType,TargetType,Range,EffectID
TEST_SK01,일격,1.0,1.2,15,0,Damage,EnemySingle,Front/Middle,
TEST_SK02,전체,0.7,1.1,30,3,Damage,EnemyAll,Front/Middle/Back,
TEST_SK03,출혈,0.9,1.2,12,2,Damage,EnemySingle,Back,EF_BLEED
TEST_SK04,독,1.0,1.3,10,3,Damage,EnemySingle,Front/Middle,EF_POISON
TEST_SK05,힐,0.9,1.2,15,3,Heal,AllySingle,Front/Middle/Back,EF_HEAL
TEST_SK06,힐2,1.0,1.3,10,2,Heal,Self,Front/Middle/Back,EF_HEAL
TEST_SK07,화상,0.8,1.2,15,4,Damage,EnemySingle,Front,EF_BURN
TEST_SP01,액티브서포트,1.2,1.3,0,3,Damage,EnemyAll,Front/Middle/Back,
TEST_SP02,패시브서포트,1,1,0,0,Buff,AllyAll,Front/Middle/Back,EF_SUPPORT_01
TEST_BS_SK01,보스독,0.8,1.1,15,2,Damage,EnemySingle,Front/Middle/Back,EF_POISON
TEST_BS_SK02,보스힐,0.8,1.2,10,4,Heal,AllySingle,Front/Middle/Back,EF_HEAL
TEST_BS_SK03,보스전체,0.7,1.0,20,3,Damage,EnemyAll,Front/Middle/Back,
TEST_BS_SK04,보스강력일격,1.2,1.3,30,3,Damage,EnemySingle,Front/Middle,
TEST_BS_SK05,보스전체독,0.6,0.9,15,4,Damage,EnemyAll,Front/Middle/Back,EF_POISON
TEST_SK09,스턴,0,0,10,3,Damage,EnemySingle,Front/Middle/Back,EF_STUN
TEST_SK10,빙결,0.8,0.9,15,3,Damage,EnemySingle,Front/Middle/Back,EF_FREEZE/EF_FREEZE_SPDDOWN
TEST_SK11,데미지버프,0,0,20,3,Buff,Self,,EF_ATKUP
